"P.E.O.P.L.E. Population Estimates and Projections","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Author: BC Stats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Release date: July 21, 2025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Geographic level: Municipality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Years: 1971-2046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Region","Municipality","Gender","Age","Estimate_2001","Estimate_2002","Estimate_2003","Estimate_2004","Estimate_2005","Estimate_2006","Estimate_2007","Estimate_2008","Estimate_2009","Estimate_2010","Estimate_2011","Estimate_2012","Estimate_2013","Estimate_2014","Estimate_2015","Estimate_2016","Estimate_2017","Estimate_2018","Estimate_2019","Estimate_2020","Estimate_2021","Estimate_2022","Estimate_2023","Estimate_2024","Projection_2025","Projection_2026","Projection_2027","Projection_2028","Projection_2029","Projection_2030","Projection_2031","Projection_2032","Projection_2033","Projection_2034","Projection_2035","Projection_2036","Projection_2037","Projection_2038","Projection_2039","Projection_2040","Projection_2041","Projection_2042","Projection_2043","Projection_2044","Projection_2045","Projection_2046"
"15038","Anmore","T","Total","  1,407","  1,487","  1,570","  1,654","  1,743","  1,849","  1,969","  2,044","  2,088","  2,096","  2,140","  2,214","  2,261","  2,305","  2,295","  2,320","  2,424","  2,415","  2,456","  2,450","  2,456","  2,525","  2,543","  2,568","  2,566","  2,553","  2,591","  2,639","  2,683","  2,743","  2,793","  2,862","  2,898","  2,949","  2,994","  3,026","  3,061","  3,092","  3,129","  3,145","  3,179","  3,200","  3,235","  3,259","  3,288","  3,308"
"15039","Port Coquitlam","T","Total"," 53,166"," 53,520"," 53,635"," 53,745"," 53,993"," 54,022"," 54,266"," 55,240"," 55,979"," 56,672"," 57,013"," 57,832"," 58,487"," 59,365"," 60,279"," 61,530"," 62,069"," 63,168"," 64,023"," 64,182"," 64,207"," 65,330"," 67,608"," 69,305"," 68,995"," 68,426"," 68,662"," 69,233"," 69,810"," 70,380"," 70,952"," 71,538"," 72,115"," 72,733"," 73,352"," 74,010"," 74,694"," 75,377"," 76,097"," 76,806"," 77,494"," 78,150"," 78,802"," 79,457"," 80,078"," 80,678"
"15043","Port Moody","T","Total"," 24,951"," 25,675"," 26,307"," 26,943"," 27,701"," 28,619"," 29,774"," 31,061"," 32,624"," 33,560"," 33,897"," 34,223"," 34,578"," 35,205"," 35,290"," 35,056"," 34,893"," 35,046"," 35,066"," 34,943"," 34,979"," 36,178"," 37,640"," 38,943"," 39,331"," 39,490"," 40,051"," 40,761"," 41,458"," 42,108"," 42,729"," 43,296"," 43,855"," 44,386"," 44,900"," 45,403"," 45,896"," 46,364"," 46,777"," 47,226"," 47,640"," 48,061"," 48,455"," 48,850"," 49,235"," 49,621"
"15046","North Vancouver, District Municipality","T","Total"," 85,113"," 85,128"," 84,869"," 84,584"," 84,522"," 84,454"," 84,267"," 84,454"," 84,928"," 85,383"," 85,716"," 86,395"," 87,146"," 87,856"," 87,999"," 89,375"," 89,725"," 90,112"," 90,765"," 91,073"," 91,595"," 93,418"," 96,507"," 99,068"," 99,275"," 98,934"," 99,569","100,507","101,325","102,045","102,698","103,291","103,873","104,479","105,106","105,805","106,554","107,359","108,261","109,112","109,996","110,843","111,712","112,552","113,435","114,290"
"15051","North Vancouver, City of","T","Total"," 46,105"," 46,264"," 46,276"," 46,318"," 46,518"," 46,725"," 46,798"," 47,553"," 48,121"," 48,862"," 49,551"," 50,427"," 51,435"," 53,081"," 54,743"," 55,515"," 56,295"," 57,623"," 58,602"," 59,611"," 60,949"," 62,905"," 65,130"," 67,310"," 67,990"," 68,392"," 69,500"," 70,874"," 72,206"," 73,417"," 74,515"," 75,532"," 76,486"," 77,415"," 78,277"," 79,125"," 79,944"," 80,728"," 81,507"," 82,242"," 82,980"," 83,696"," 84,401"," 85,090"," 85,762"," 86,418"
"15055","West Vancouver","T","Total"," 42,689"," 42,789"," 42,810"," 42,806"," 42,902"," 43,030"," 43,197"," 42,771"," 43,066"," 43,400"," 43,227"," 43,413"," 43,653"," 43,792"," 43,768"," 43,892"," 43,962"," 44,166"," 44,620"," 45,139"," 45,544"," 46,409"," 47,628"," 48,878"," 48,909"," 48,645"," 48,846"," 49,172"," 49,470"," 49,697"," 49,915"," 50,102"," 50,290"," 50,513"," 50,739"," 50,993"," 51,290"," 51,611"," 51,951"," 52,320"," 52,675"," 53,024"," 53,387"," 53,734"," 54,169"," 54,570"
"15062","Bowen Island","T","Total","  3,057","  3,120","  3,189","  3,260","  3,341","  3,428","  3,450","  3,407","  3,429","  3,485","  3,458","  3,611","  3,678","  3,702","  3,747","  3,832","  3,996","  4,131","  4,198","  4,231","  4,398","  4,450","  4,556","  4,684","  4,689","  4,664","  4,699","  4,762","  4,846","  4,903","  4,980","  5,024","  5,097","  5,151","  5,216","  5,279","  5,318","  5,384","  5,436","  5,485","  5,525","  5,582","  5,616","  5,683","  5,709","  5,746"
"15065","Lions Bay","T","Total","  1,428","  1,410","  1,386","  1,382","  1,360","  1,347","  1,351","  1,342","  1,324","  1,323","  1,335","  1,313","  1,282","  1,343","  1,382","  1,396","  1,397","  1,416","  1,438","  1,427","  1,434","  1,431","  1,452","  1,463","  1,432","  1,408","  1,405","  1,400","  1,392","  1,390","  1,394","  1,391","  1,386","  1,380","  1,393","  1,373","  1,390","  1,387","  1,384","  1,387","  1,407","  1,409","  1,407","  1,409","  1,408","  1,423"
"15070","Pitt Meadows","T","Total"," 15,285"," 15,472"," 15,595"," 15,742"," 15,941"," 16,184"," 16,497"," 17,258"," 17,805"," 17,950"," 18,182"," 18,419"," 18,611"," 18,941"," 19,134"," 19,434"," 19,806"," 19,979"," 19,984"," 19,888"," 19,937"," 20,508"," 21,116"," 21,402"," 21,224"," 21,097"," 21,200"," 21,404"," 21,650"," 21,861"," 22,076"," 22,294"," 22,516"," 22,723"," 22,936"," 23,173"," 23,400"," 23,626"," 23,832"," 24,059"," 24,285"," 24,498"," 24,694"," 24,906"," 25,085"," 25,284"
"15075","Maple Ridge","T","Total"," 65,880"," 66,980"," 67,861"," 68,779"," 69,945"," 71,096"," 72,087"," 73,695"," 74,909"," 76,625"," 77,911"," 79,165"," 80,040"," 81,644"," 83,195"," 86,394"," 88,962"," 91,558"," 92,390"," 93,117"," 95,112"," 98,656","102,654","106,489","107,615","108,122","109,760","111,824","113,876","115,811","117,631","119,358","121,012","122,582","124,117","125,574","126,951","128,251","129,484","130,669","131,824","132,967","134,097","135,189","136,245","137,268"
"15999","Unincorporated Areas - Metro Vancouver","T","Total"," 15,974"," 16,703"," 17,494"," 18,210"," 19,042"," 19,744"," 20,104"," 20,524"," 21,056"," 21,652"," 22,193"," 23,162"," 24,072"," 25,188"," 25,127"," 26,900"," 27,619"," 28,466"," 29,244"," 30,219"," 31,083"," 32,446"," 33,860"," 35,134"," 35,688"," 36,315"," 37,363"," 38,584"," 39,910"," 41,208"," 42,355"," 43,517"," 44,565"," 45,514"," 46,434"," 47,247"," 47,911"," 48,466"," 48,944"," 49,416"," 49,812"," 50,271"," 50,694"," 51,085"," 51,492"," 51,872"
